12:00:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01 AM     all      0.62      0.00      0.35      0.24      0.00     98.79
12:20:01 AM     all      7.65      0.24      1.94      0.36      0.00     89.80
12:30:01 AM     all      0.77      0.00      0.36      0.43      0.00     98.43
12:40:01 AM     all      0.83      0.00      0.37      0.17      0.00     98.63
12:50:01 AM     all      0.68      0.00      0.34      0.06      0.00     98.93
01:00:02 AM     all      0.68      0.00      0.34      0.08      0.00     98.90
01:10:01 AM     all      0.72      0.00      0.37      0.19      0.00     98.72
01:20:01 AM     all      0.67      0.00      0.34      0.12      0.00     98.87
01:30:01 AM     all      0.68      0.00      0.34      0.13      0.00     98.85
01:40:01 AM     all      0.82      0.00      0.38      0.13      0.00     98.67
01:50:01 AM     all      0.67      0.00      0.34      0.06      0.00     98.92
02:00:01 AM     all      0.66      0.00      0.34      0.06      0.00     98.94
02:10:02 AM     all      0.74      0.00      0.37      0.08      0.00     98.82
02:20:01 AM     all      0.68      0.00      0.35      0.14      0.00     98.83
02:30:01 AM     all      0.69      0.00      0.36      0.09      0.00     98.87
02:40:01 AM     all      0.84      0.00      0.38      0.17      0.00     98.61
02:50:01 AM     all      0.68      0.00      0.35      0.07      0.00     98.90
03:00:01 AM     all      0.71      0.00      0.37      0.07      0.00     98.85
03:10:01 AM     all      0.74      0.00      0.39      0.09      0.00     98.79
09:40:01 AM     all      0.00      0.00      0.00      0.00      0.00      0.00
09:50:01 AM     all      6.23      0.00      1.25      0.91      0.00     91.60
10:00:01 AM     all      3.85      0.00      1.11      0.67      0.00     94.36
Average:        all      5.38      0.04      1.92      0.25      0.00     92.41
10:07:50 AM       LINUX RESTART
10:10:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:20:02 AM     all     11.25      0.18      1.24      2.16      0.00     85.16
10:30:01 AM     all      0.93      0.00      0.39      0.11      0.00     98.57
10:40:01 AM     all      4.46      0.00      0.63      0.32      0.00     94.59
11:20:01 AM     all      0.00      0.00      0.00      0.00      0.00      0.00
11:30:01 AM     all      0.99      0.04      0.41      0.07      0.00     98.49
11:40:01 AM     all      3.26      0.10      0.88      0.31      0.00     95.46
11:50:01 AM     all      5.09      0.15      1.31      0.35      0.00     93.11
12:00:02 PM     all      3.96      0.06      1.07      0.51      0.00     94.40
12:10:02 PM     all      4.23      0.01      1.00      0.35      0.00     94.41
12:20:01 PM     all      5.70      0.00      0.94      0.21      0.00     93.16
12:30:02 PM     all      2.09      0.00      0.58      0.08      0.00     97.25
12:40:01 PM     all      5.42      0.03      1.19      0.19      0.00     93.18
12:50:02 PM     all      6.89      0.00      1.37      1.69      0.00     90.04
01:00:02 PM     all      7.59      0.03      1.64      2.42      0.00     88.32
01:10:01 PM     all      6.78      0.00      1.22      0.26      0.00     91.73
01:20:01 PM     all      6.49      0.00      1.55      0.30      0.00     91.66
01:30:01 PM     all      4.71      0.00      1.24      0.18      0.00     93.87
01:40:01 PM     all      2.17      0.00      0.84      0.13      0.00     96.87
01:50:02 PM     all      2.32      0.00      0.86      0.16      0.00     96.65
02:00:01 PM     all      2.13      0.00      0.82      0.08      0.00     96.96
02:10:01 PM     all      2.15      0.00      0.84      0.12      0.00     96.90
02:20:01 PM     all      9.19      0.00      1.36      0.29      0.00     89.16
02:30:01 PM     all      7.84      0.00      1.59      0.27      0.00     90.29
02:40:01 PM     all      6.50      0.03      1.58      0.41      0.00     91.48
02:50:02 PM     all      7.77      0.02      1.42      0.57      0.00     90.22
03:00:01 PM     all      3.03      0.07      0.94      0.43      0.00     95.53
03:10:01 PM     all      4.31      0.00      0.97      0.32      0.00     94.41
03:20:02 PM     all      4.28      0.02      1.04      0.28      0.00     94.39
03:30:01 PM     all      4.07      0.01      1.00      0.21      0.00     94.72
03:40:01 PM     all      4.76      0.01      1.08      0.28      0.00     93.88
03:50:01 PM     all      3.91      0.00      1.04      0.41      0.00     94.64
04:00:01 PM     all      1.56      0.00      0.53      0.20      0.00     97.71
04:10:02 PM     all      2.09      0.00      0.65      0.16      0.00     97.10
04:20:01 PM     all     10.22      0.00      1.50      0.64      0.00     87.63
Average:        all      5.15      0.03      1.13      0.32      0.00     93.37
07:00:16 PM       LINUX RESTART
08:10:52 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:20:01 PM     all      4.45      0.00      0.66      0.27      0.00     94.62
Average:        all      4.45      0.00      0.66      0.27      0.00     94.62
null
